Player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,threepoint,threepoint_att,threepoint_percent,twopoint,twopoint_att,twopoint_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Gordon Hayward,SF,30,CHO,44,44,1496,7.5,15.8,0.473,2.0,4.9,0.415,5.4,10.9,0.499,3.8,4.5,0.843,0.9,5.3,6.2,4.4,1.3,0.3,2.2,1.8,20.8
Juancho Hernangómez,PF,25,MIN,52,6,900,5.2,12.0,0.435,2.2,6.7,0.327,3.0,5.2,0.573,2.4,3.9,0.619,1.8,6.4,8.2,1.4,0.8,0.3,1.1,2.1,15.0
Willy Hernangómez,C,26,NOP,47,12,846,6.4,11.4,0.563,0.0,0.4,0.1,6.4,11.0,0.581,2.6,4.0,0.667,5.0,9.2,14.2,2.1,0.9,1.0,1.4,2.9,15.5
Tyler Herro,SG,21,MIA,54,15,1635,6.8,15.4,0.439,2.4,6.5,0.36,4.4,8.9,0.498,2.1,2.6,0.803,0.6,5.4,5.9,4.1,0.8,0.4,2.2,1.6,17.9
Buddy Hield,SG,28,SAC,71,71,2433,6.0,14.7,0.406,4.2,10.7,0.391,1.8,4.0,0.446,1.3,1.5,0.846,0.4,4.5,4.9,3.8,0.9,0.4,1.9,2.6,17.4
George Hill,PG,34,TOT,30,17,672,5.1,10.6,0.482,1.7,4.3,0.388,3.4,6.3,0.547,2.1,2.7,0.8,0.9,2.4,3.3,3.9,1.2,0.3,1.7,1.7,14.0
Solomon Hill,PF,29,ATL,71,16,1513,2.5,7.1,0.359,1.6,5.0,0.321,0.9,2.0,0.453,0.8,1.1,0.761,1.0,4.1,5.1,1.8,1.2,0.3,1.0,2.8,7.5
Nate Hinton,SG,21,DAL,21,0,93,5.8,16.3,0.357,1.5,7.4,0.211,4.3,8.9,0.478,2.7,3.9,0.7,0.4,3.1,3.5,3.1,2.7,0.8,1.9,3.1,15.9
Jaylen Hoard,SF,21,OKC,19,0,320,5.0,9.9,0.5,0.0,1.2,0.0,5.0,8.7,0.571,3.2,4.6,0.683,2.4,5.0,7.3,2.7,1.5,0.6,1.9,2.1,13.1
Aaron Holiday,PG,24,IND,66,8,1176,5.2,13.3,0.39,2.1,5.6,0.368,3.2,7.8,0.406,2.1,2.5,0.819,0.5,2.3,2.7,3.8,1.4,0.4,2.0,2.9,14.5
Jrue Holiday,PG,30,MIL,59,56,1907,7.8,15.5,0.503,2.1,5.3,0.392,5.7,10.2,0.561,2.0,2.6,0.787,1.4,3.7,5.1,6.7,1.8,0.7,2.4,1.9,19.7
Justin Holiday,SG,31,IND,72,52,2183,4.3,10.3,0.413,2.9,7.5,0.382,1.4,2.8,0.494,1.1,1.4,0.788,0.5,3.7,4.2,2.0,1.2,0.7,0.9,2.2,12.5
Rondae Hollis-Jefferson,PF,26,POR,11,1,107,3.0,6.1,0.5,0.0,0.3,0.0,3.0,5.7,0.529,3.0,5.4,0.563,3.7,5.0,8.7,4.4,0.7,1.3,0.7,5.0,9.1
Richaun Holmes,C,27,SAC,61,61,1782,7.4,11.6,0.637,0.0,0.2,0.182,7.4,11.4,0.645,2.7,3.4,0.794,2.9,7.3,10.2,2.0,0.8,1.9,1.5,4.3,17.6
Rodney Hood,SF,28,TOT,55,5,942,3.6,9.9,0.362,1.3,4.3,0.301,2.3,5.6,0.408,0.9,1.1,0.857,0.9,3.1,3.9,2.0,0.9,0.3,1.4,2.8,9.4
Al Horford,C,34,OKC,28,28,782,7.5,16.6,0.45,2.6,7.0,0.368,4.9,9.6,0.51,0.8,1.0,0.818,1.3,7.3,8.7,4.3,1.2,1.2,1.3,2.2,18.3
Talen Horton-Tucker,SG,20,LAL,65,4,1304,6.2,13.5,0.458,1.0,3.6,0.282,5.2,9.9,0.522,2.8,3.6,0.775,0.7,4.0,4.7,5.0,1.7,0.6,2.9,3.5,16.2
Danuel House Jr.,SF,27,HOU,36,23,932,4.2,10.5,0.404,2.1,6.0,0.346,2.2,4.5,0.483,1.6,2.4,0.651,0.7,4.4,5.1,2.7,0.8,0.6,1.4,2.6,12.2
Dwight Howard,C,35,PHI,69,6,1196,5.4,9.1,0.587,0.2,0.6,0.25,5.2,8.5,0.611,3.6,6.3,0.576,5.7,11.7,17.5,1.8,0.9,1.9,3.4,6.0,14.5
Markus Howard,SG,21,DEN,37,1,205,7.0,18.6,0.377,3.2,11.4,0.277,3.9,7.2,0.537,1.2,1.6,0.778,0.2,3.5,3.7,3.2,0.7,0.2,3.2,4.0,18.4
Kevin Huerter,SG,22,ATL,69,49,2126,5.4,12.4,0.432,2.4,6.5,0.363,3.0,5.8,0.51,0.8,1.1,0.781,0.6,3.3,3.9,4.1,1.4,0.3,1.3,2.8,13.9
Elijah Hughes,SF,22,UTA,18,0,64,5.6,16.9,0.333,4.5,12.9,0.348,1.1,3.9,0.286,1.7,2.3,0.75,0.6,4.5,5.1,3.4,0.6,0.6,3.4,0.6,17.4
De'Andre Hunter,SF,23,ATL,23,19,678,6.4,13.2,0.484,1.6,5.0,0.326,4.7,8.1,0.582,3.9,4.5,0.859,0.9,4.9,5.8,2.3,1.0,0.6,1.5,3.1,18.3
Chandler Hutchison,SF,24,TOT,25,1,346,4.1,10.7,0.379,0.8,2.3,0.364,3.2,8.4,0.383,2.2,2.6,0.84,0.6,7.5,8.1,1.8,1.2,0.5,2.1,3.4,11.1
Serge Ibaka,C,31,LAC,41,39,955,7.0,13.8,0.51,1.5,4.3,0.339,5.5,9.4,0.588,1.6,2.0,0.811,2.8,7.6,10.4,2.8,0.3,1.8,1.7,2.9,17.1
Andre Iguodala,SF,37,MIA,63,5,1339,2.6,6.7,0.383,1.6,4.9,0.33,0.9,1.8,0.53,0.7,1.0,0.658,1.0,4.9,5.9,3.8,1.5,0.9,1.8,2.4,7.4
Ersan İlyasova,PF,33,UTA,17,1,148,5.1,13.1,0.389,4.4,10.0,0.439,0.7,3.2,0.231,1.2,1.2,1.0,1.7,5.4,7.1,1.0,2.4,0.7,1.9,7.1,15.8
Joe Ingles,SF,33,UTA,67,30,1867,5.3,10.8,0.489,3.5,7.8,0.451,1.8,3.0,0.59,1.5,1.7,0.844,0.5,4.2,4.7,6.1,0.9,0.2,2.3,2.3,15.6
Brandon Ingram,SF,23,NOP,61,61,2093,8.8,18.9,0.466,2.5,6.5,0.381,6.4,12.5,0.51,4.8,5.5,0.878,0.6,4.6,5.1,5.1,0.7,0.6,2.6,2.1,24.9
Kyrie Irving,PG,28,BRK,54,54,1886,10.5,20.7,0.506,2.9,7.2,0.402,7.6,13.5,0.561,3.8,4.2,0.922,1.0,3.9,4.9,6.2,1.5,0.7,2.5,2.7,27.7
Wes Iwundu,SF,26,TOT,41,4,539,2.3,6.8,0.333,0.3,2.7,0.122,1.9,4.1,0.475,1.7,2.1,0.839,1.0,5.0,6.0,1.2,1.0,0.3,1.3,3.3,6.6
Frank Jackson,PG,22,DET,40,6,738,6.5,14.3,0.457,3.0,7.3,0.407,3.6,7.0,0.51,3.0,3.7,0.813,0.7,3.5,4.2,1.8,0.7,0.0,1.7,2.6,19.0
Jaren Jackson Jr.,C,21,MEM,11,4,258,7.4,17.4,0.424,2.4,8.4,0.283,5.0,9.1,0.554,4.9,5.9,0.833,2.4,6.3,8.7,1.7,1.7,2.5,2.1,5.9,22.0
Josh Jackson,SG,23,DET,62,25,1560,6.8,16.3,0.419,1.8,5.9,0.3,5.1,10.4,0.487,3.7,5.0,0.729,1.3,4.5,5.9,3.3,1.2,1.1,3.3,4.1,19.1
Justin Jackson,SF,25,TOT,34,3,577,5.6,13.8,0.403,2.2,7.3,0.308,3.3,6.5,0.51,1.9,2.3,0.838,1.0,3.8,4.8,3.2,0.9,0.1,2.0,2.0,15.3
Reggie Jackson,SG,30,LAC,67,43,1544,6.1,13.6,0.45,2.8,6.6,0.433,3.3,7.1,0.465,1.6,1.9,0.817,0.6,3.9,4.5,4.8,1.0,0.2,1.7,3.0,16.7
Justin James,SF,24,SAC,36,0,310,6.0,12.9,0.468,1.6,4.4,0.368,4.4,8.5,0.521,2.4,4.2,0.583,1.0,2.4,3.5,2.6,0.9,0.3,1.7,2.7,16.1
LeBron James,PG,36,LAL,45,45,1504,10.1,19.7,0.513,2.5,6.8,0.365,7.6,12.9,0.591,4.3,6.1,0.698,0.7,7.6,8.3,8.4,1.1,0.6,4.0,1.7,27.0
Mike James,PG,30,BRK,13,1,236,5.2,14.0,0.37,1.7,4.7,0.355,3.5,9.3,0.377,3.2,4.1,0.778,0.5,4.4,4.9,8.2,0.9,0.2,3.1,1.5,15.3
DaQuan Jeffries,SG,23,TOT,31,5,493,3.7,8.8,0.417,1.5,4.9,0.299,2.2,3.9,0.566,0.5,0.6,0.875,1.4,3.8,5.2,1.6,1.1,0.7,1.0,3.5,9.3
Ty Jerome,SG,23,OKC,33,1,788,5.8,13.1,0.446,3.2,7.7,0.423,2.6,5.4,0.479,1.2,1.6,0.765,0.5,3.7,4.2,5.5,0.9,0.3,2.1,2.8,16.1
Isaiah Joe,SG,21,PHI,41,1,383,4.5,12.5,0.361,3.7,10.0,0.368,0.8,2.5,0.333,1.7,2.3,0.75,0.6,2.8,3.4,1.9,1.1,0.4,1.0,3.2,14.4
Alize Johnson,PF,24,BRK,18,0,189,7.6,13.0,0.588,0.2,1.1,0.167,7.4,11.8,0.629,2.5,2.5,1.0,5.1,12.0,17.1,2.7,1.0,1.0,1.7,3.0,17.9
Cameron Johnson,PF,24,PHO,60,11,1437,5.1,12.1,0.42,2.9,8.4,0.349,2.2,3.7,0.581,1.3,1.5,0.847,0.8,4.2,5.0,2.2,0.9,0.4,1.0,2.1,14.4
James Johnson,PF,33,TOT,51,12,1043,5.0,11.3,0.446,1.1,4.1,0.258,4.0,7.1,0.556,1.6,2.6,0.592,1.1,5.0,6.1,3.4,1.4,1.4,1.9,4.1,12.7
Keldon Johnson,SF,21,SAS,69,67,1968,6.2,12.9,0.479,1.1,3.3,0.331,5.1,9.6,0.531,2.7,3.6,0.74,1.7,5.8,7.5,2.2,0.7,0.4,1.4,2.6,16.1
Stanley Johnson,PF,24,TOR,61,13,1006,3.2,8.3,0.382,1.6,4.9,0.328,1.6,3.4,0.458,1.6,2.0,0.8,1.0,4.4,5.5,3.2,1.9,0.6,1.9,4.2,9.6
Tyler Johnson,SG,28,BRK,39,3,684,3.8,9.6,0.393,2.5,6.9,0.364,1.3,2.7,0.471,0.9,1.1,0.857,0.3,3.7,4.1,2.5,0.7,0.0,0.9,2.3,11.1
Nikola Jokić,C,25,DEN,72,72,2488,10.6,18.7,0.566,1.3,3.4,0.388,9.3,15.3,0.606,4.9,5.7,0.868,3.0,8.3,11.3,8.7,1.4,0.7,3.2,2.8,27.5
Damian Jones,C,25,TOT,39,10,547,4.6,6.8,0.68,0.1,0.3,0.2,4.5,6.4,0.704,2.8,3.8,0.724,2.4,5.6,8.0,1.9,0.7,1.9,1.7,5.1,12.0
Derrick Jones Jr.,SF,23,POR,58,43,1318,4.0,8.3,0.484,1.2,3.7,0.316,2.8,4.6,0.619,1.6,2.5,0.648,2.1,3.5,5.6,1.3,1.0,1.5,0.9,3.5,10.8
Mason Jones,SG,22,TOT,32,1,334,5.6,13.3,0.423,2.6,7.1,0.364,3.0,6.1,0.491,4.3,6.9,0.625,0.8,5.2,5.9,4.5,0.8,0.1,3.1,2.6,18.1
Tre Jones,PG,21,SAS,37,1,269,5.0,10.4,0.474,0.4,0.7,0.6,4.6,9.8,0.466,2.3,2.5,0.895,1.1,1.7,2.8,5.2,1.1,0.0,1.7,1.7,12.6
Tyus Jones,PG,24,MEM,70,9,1222,5.2,12.2,0.431,1.3,4.1,0.321,3.9,8.0,0.487,1.2,1.3,0.911,0.6,3.5,4.1,7.6,1.9,0.2,1.4,0.9,13.0
DeAndre Jordan,C,32,BRK,57,43,1246,5.5,7.2,0.763,0.0,0.0,0.0,5.5,7.2,0.766,1.3,2.7,0.5,3.4,9.0,12.3,2.7,0.5,1.9,2.5,3.4,12.3
Cory Joseph,PG,29,TOT,63,13,1446,5.0,10.6,0.469,1.1,3.3,0.341,3.9,7.3,0.527,1.8,2.2,0.818,0.9,3.1,4.0,5.3,1.5,0.4,2.0,3.5,12.9
Mfiondu Kabengele,PF,23,TOT,39,0,280,4.2,11.4,0.371,1.7,6.4,0.26,2.6,5.0,0.513,2.1,2.6,0.8,1.5,6.2,7.7,2.2,1.0,1.7,1.9,4.6,12.2
Frank Kaminsky,C,27,PHO,47,13,715,6.1,12.9,0.471,1.6,4.3,0.365,4.5,8.7,0.523,1.9,3.0,0.617,1.8,7.7,9.5,4.0,0.7,0.9,1.1,3.5,15.6
Luke Kennard,SG,24,LAC,63,17,1232,5.8,12.1,0.476,2.9,6.5,0.446,2.8,5.6,0.511,0.8,0.9,0.839,0.4,4.3,4.7,3.0,0.7,0.3,1.4,2.7,15.2
Louis King,SF,21,SAC,6,1,85,7.2,14.4,0.5,1.7,4.7,0.364,5.5,9.7,0.565,2.5,2.5,1.0,2.1,5.5,7.6,3.8,3.0,1.3,1.7,3.8,18.6
Maxi Kleber,PF,29,DAL,50,40,1341,3.1,7.4,0.422,2.3,5.7,0.41,0.8,1.7,0.46,0.9,1.0,0.919,1.3,5.7,7.0,1.8,0.6,0.9,0.8,2.8,9.5
Nathan Knight,PF,23,ATL,33,0,279,4.8,12.9,0.37,0.8,4.3,0.182,4.0,8.6,0.463,5.7,7.1,0.8,3.5,5.8,9.3,1.0,1.2,1.3,1.9,2.8,16.0
Kevin Knox,SF,21,NYK,42,0,464,4.3,11.1,0.392,2.7,6.9,0.393,1.6,4.2,0.389,1.2,1.6,0.8,0.8,4.0,4.7,1.5,0.9,0.5,1.3,2.9,12.6
John Konchar,SG,24,MEM,43,0,575,4.3,8.6,0.5,1.3,3.5,0.375,3.0,5.1,0.585,1.6,1.9,0.833,2.2,5.8,8.0,2.9,1.9,0.6,1.1,2.5,11.5
Furkan Korkmaz,SG,23,PHI,55,11,1062,5.8,14.4,0.401,3.4,9.1,0.375,2.3,5.3,0.445,2.0,2.8,0.732,0.6,3.3,3.8,2.8,1.7,0.3,1.6,2.2,17.0
Luke Kornet,C-PF,25,TOT,31,2,348,4.6,10.4,0.436,1.6,6.1,0.254,3.0,4.3,0.69,0.3,0.6,0.5,1.4,5.5,6.9,2.5,0.4,3.3,0.7,2.1,11.0
Rodions Kurucs,SF-PF,22,TOT,21,0,125,3.2,9.2,0.344,1.7,6.0,0.286,1.4,3.2,0.455,0.9,1.2,0.75,1.4,5.2,6.6,2.9,2.6,1.2,3.7,4.6,8.9
Kyle Kuzma,SF,25,LAL,68,32,1954,6.2,13.9,0.443,2.5,7.0,0.361,3.6,6.9,0.525,1.2,1.8,0.691,2.0,5.7,7.7,2.3,0.6,0.8,2.1,2.2,16.1
Anthony Lamb,SF,23,HOU,24,3,415,4.0,10.2,0.39,2.0,6.2,0.324,2.0,4.1,0.489,1.6,1.8,0.857,2.3,3.7,6.1,2.0,0.5,0.4,1.6,2.9,11.5
Jeremy Lamb,SG,28,IND,36,8,765,5.6,13.0,0.435,2.4,6.0,0.406,3.2,7.0,0.459,3.3,3.5,0.947,1.2,5.0,6.2,2.5,1.6,1.1,1.0,3.4,17.1
Romeo Langford,SG,21,BOS,18,4,283,2.7,7.5,0.356,0.6,2.3,0.278,2.0,5.2,0.39,1.1,1.5,0.75,1.5,2.9,4.5,1.7,0.8,0.6,1.3,3.1,7.1
Zach LaVine,SG,25,CHI,58,58,2034,10.1,19.9,0.507,3.5,8.4,0.419,6.5,11.4,0.571,4.5,5.3,0.849,0.6,4.5,5.1,5.0,0.8,0.5,3.6,2.4,28.2
Jake Layman,SF,26,MIN,45,11,627,5.2,10.6,0.495,1.3,4.5,0.295,3.9,6.1,0.642,1.5,2.1,0.703,0.7,3.1,3.8,1.6,1.7,1.1,1.5,2.5,13.3
T.J. Leaf,PF,23,POR,7,0,35,5.1,10.3,0.5,0.0,0.0,,5.1,10.3,0.5,2.1,2.1,1.0,0.0,5.1,5.1,1.0,2.1,1.0,2.1,1.0,12.3
Jalen Lecque,PG,20,IND,4,0,12,3.0,27.0,0.111,0.0,3.0,0.0,3.0,24.0,0.125,9.0,9.0,1.0,6.0,9.0,15.0,6.0,0.0,0.0,0.0,0.0,15.0
Damion Lee,SG,28,GSW,57,1,1079,4.3,9.1,0.467,2.6,6.5,0.397,1.7,2.7,0.638,1.3,1.5,0.909,0.7,5.3,6.0,2.4,1.3,0.3,1.0,3.0,12.4
Saben Lee,PG,21,DET,48,7,781,4.6,9.7,0.471,0.4,1.1,0.348,4.2,8.6,0.487,2.8,4.1,0.685,0.9,3.5,4.5,8.0,1.5,0.6,2.5,3.5,12.3
Alex Len,C,27,TOT,64,42,979,6.3,10.2,0.615,0.3,0.9,0.32,6.0,9.3,0.644,2.7,4.3,0.629,2.9,6.7,9.6,1.8,0.7,2.4,2.0,4.7,15.6
Kawhi Leonard,SF,29,LAC,52,52,1773,9.4,18.4,0.512,2.1,5.2,0.398,7.4,13.3,0.557,5.3,6.0,0.885,1.1,5.7,6.8,5.5,1.6,0.4,2.1,1.7,26.2
Meyers Leonard,C,28,MIA,3,2,29,3.7,8.7,0.429,3.7,8.7,0.429,0.0,0.0,,1.2,2.5,0.5,0.0,8.7,8.7,2.5,0.0,0.0,2.5,6.2,12.4
Caris LeVert,SG,26,TOT,47,39,1486,8.7,19.7,0.441,2.0,6.3,0.326,6.7,13.5,0.495,3.5,4.4,0.811,0.8,4.4,5.2,5.9,1.6,0.7,2.5,2.5,23.0
Kira Lewis Jr.,PG,19,NOP,54,0,904,5.2,13.4,0.386,1.6,4.8,0.333,3.6,8.6,0.415,1.7,2.0,0.843,0.5,2.3,2.8,4.9,1.5,0.4,1.4,3.5,13.7
Damian Lillard,PG,30,POR,67,67,2398,9.0,20.0,0.451,4.1,10.6,0.391,4.9,9.5,0.519,6.7,7.3,0.928,0.5,3.8,4.2,7.6,0.9,0.3,3.0,1.5,28.9
Nassir Little,PF,20,POR,48,2,640,4.4,9.4,0.467,1.6,4.5,0.35,2.8,4.9,0.575,2.0,2.5,0.8,1.8,5.4,7.2,1.3,0.3,0.7,1.0,2.9,12.4
Kevon Looney,C,24,GSW,61,34,1161,3.3,6.1,0.548,0.1,0.5,0.235,3.2,5.6,0.578,1.0,1.5,0.646,3.6,6.4,10.0,3.7,0.7,0.7,1.1,4.2,7.8
Brook Lopez,C,32,MIL,70,70,1902,6.1,12.1,0.503,1.8,5.3,0.338,4.3,6.8,0.632,2.3,2.7,0.845,2.0,4.6,6.6,0.9,0.8,1.9,1.2,2.8,16.3
Robin Lopez,C,32,WAS,71,9,1354,7.2,11.3,0.633,0.1,0.5,0.278,7.0,10.8,0.649,2.6,3.6,0.723,3.7,3.5,7.2,1.5,0.4,1.2,2.0,2.9,17.1
Didi Louzada,SF,21,NOP,3,0,56,1.9,8.4,0.231,1.3,5.1,0.25,0.6,3.2,0.2,0.0,0.0,,0.6,1.3,1.9,1.9,1.3,0.0,1.9,3.2,5.1
Kevin Love,PF,32,CLE,25,25,622,6.0,14.6,0.409,3.3,9.0,0.365,2.7,5.6,0.479,2.4,3.0,0.824,1.0,9.8,10.8,3.6,0.9,0.1,2.2,1.5,17.7
Kyle Lowry,PG,34,TOR,46,46,1601,5.8,13.4,0.436,2.9,7.4,0.396,2.9,6.0,0.487,3.1,3.6,0.875,0.8,4.8,5.6,7.6,1.0,0.3,2.8,3.2,17.8
Timothé Luwawu-Cabarrot,SF,25,BRK,58,7,1050,4.5,12.2,0.365,2.6,8.2,0.314,1.9,4.0,0.47,1.2,1.5,0.814,1.0,3.5,4.4,2.4,1.1,0.2,1.5,3.4,12.7
Trey Lyles,PF,25,SAS,23,9,358,4.3,9.1,0.478,1.4,4.0,0.35,2.9,5.0,0.58,1.5,2.3,0.652,0.9,7.7,8.6,1.4,0.6,0.1,0.6,1.3,11.6
Will Magnay,C,22,NOP,1,0,3,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0
Thon Maker,C,23,CLE,8,0,76,4.7,8.5,0.556,0.0,0.9,0.0,4.7,7.6,0.625,4.7,5.2,0.909,3.8,4.7,8.5,1.9,0.9,1.9,1.4,3.3,14.2
Théo Maledon,PG,19,OKC,65,49,1778,4.6,12.4,0.368,2.1,6.3,0.335,2.4,6.1,0.402,2.0,2.7,0.748,0.5,3.8,4.3,4.6,1.1,0.2,2.9,2.6,13.3
Karim Mané,PG,20,ORL,10,0,88,1.2,5.3,0.231,0.4,0.8,0.5,0.8,4.5,0.182,1.6,2.0,0.8,0.4,5.3,5.7,1.6,0.0,0.8,1.2,4.1,4.5
Terance Mann,SG,24,LAC,67,10,1263,5.1,10.0,0.509,1.1,2.6,0.418,4.0,7.4,0.541,2.2,2.7,0.83,1.6,5.3,6.9,3.0,0.8,0.4,1.1,3.6,13.5
Nico Mannion,PG,19,GSW,30,1,364,3.9,11.3,0.342,2.2,5.9,0.367,1.7,5.3,0.315,2.3,2.8,0.821,0.6,4.0,4.5,6.9,1.6,0.1,3.1,2.9,12.2
Boban Marjanović,C,32,DAL,33,3,271,8.2,16.2,0.508,0.1,1.1,0.125,8.1,15.1,0.535,4.1,5.0,0.816,6.2,10.8,17.0,1.3,0.3,0.8,1.6,3.9,20.7
Lauri Markkanen,PF,23,CHI,51,26,1317,6.8,14.2,0.48,3.3,8.1,0.402,3.6,6.2,0.582,2.1,2.5,0.826,1.0,6.4,7.3,1.2,0.7,0.4,1.4,2.1,19.0
Naji Marshall,SF,23,NOP,32,10,700,4.2,10.7,0.392,1.5,4.3,0.349,2.7,6.5,0.421,2.7,3.9,0.707,0.8,6.8,7.6,4.5,1.3,0.5,2.0,3.0,12.7
Caleb Martin,SF,25,CHO,53,3,818,4.2,11.3,0.375,1.4,5.5,0.248,2.9,5.8,0.496,1.8,2.8,0.641,1.4,4.8,6.2,2.9,1.6,0.5,1.5,2.7,11.6
Cody Martin,SF,25,CHO,52,10,849,3.5,8.0,0.441,0.7,2.5,0.276,2.8,5.5,0.515,1.1,1.8,0.581,2.2,4.6,6.8,3.6,1.6,0.5,1.7,2.2,8.8
Jeremiah Martin,PG,24,CLE,9,0,75,4.3,15.8,0.273,1.4,5.8,0.25,2.9,10.1,0.286,0.5,2.4,0.2,1.0,2.4,3.4,1.9,2.4,1.0,2.9,0.5,10.6
Kelan Martin,SF,25,IND,35,0,322,6.9,15.4,0.449,2.7,6.7,0.4,4.2,8.7,0.487,1.0,1.1,0.9,2.0,6.7,8.7,1.9,1.1,1.1,1.8,3.9,17.6
Kenyon Martin Jr.,SF,20,HOU,45,8,1068,5.5,10.7,0.509,1.2,3.2,0.365,4.3,7.5,0.572,2.0,2.8,0.714,2.5,5.7,8.2,1.6,1.0,1.4,1.3,3.0,14.1
Frank Mason III,PG,26,ORL,4,1,79,4.1,10.9,0.375,0.9,2.3,0.4,3.2,8.7,0.368,2.3,3.2,0.714,1.4,4.1,5.5,5.5,0.0,0.0,2.3,3.2,11.4
Garrison Mathews,SG,24,WAS,64,24,1038,3.4,8.2,0.409,2.6,6.9,0.384,0.7,1.4,0.538,2.9,3.3,0.884,0.6,2.5,3.0,0.9,1.0,0.2,0.3,3.7,12.3
